22548344_length_7734_cvg_14.8_tip_1 1 30
22549422_length_7762_cvg_17.4_tip_1 7739 7762
22550674_length_7793_cvg_14.9_tip_1 7771 7793
22553930_length_7881_cvg_15.4_tip_1 1 27
22555996_length_7938_cvg_15.9_tip_1 1 29
22557224_length_7972_cvg_16.7_tip_1 7949 7972
22561486_length_8095_cvg_13.7_tip_1 1 27
22562596_length_8129_cvg_12.9_tip_1 8111 8129
22563936_length_8169_cvg_16.3_tip_1 1 47
22566198_length_8239_cvg_15.7_tip_1 1 25
22567862_length_8290_cvg_14.4_tip_1 1 24
22569340_length_8337_cvg_15.2_tip_1 1 23
22572934_length_8453_cvg_14.7_tip_1 8425 8453
22574126_length_8490_cvg_16.1_tip_1 1 27
22575084_length_8521_cvg_16.0_tip_1 1 21
22577284_length_8594_cvg_15.2_tip_1 1 34
22580052_length_8686_cvg_15.8_tip_1 8665 8686
22581636_length_8744_cvg_14.8_tip_1 1 25
22582486_length_8773_cvg_14.2_tip_1 1 21
22583972_length_8829_cvg_16.7_tip_1 1 19
22585842_length_8895_cvg_14.9_tip_1 1 26
22587562_length_8959_cvg_14.5_tip_0 1 33
22588576_length_8997_cvg_16.7_tip_1 1 30
22589516_length_9029_cvg_15.0_tip_1 1 23
22524362_length_7152_cvg_16.1_tip_1 7133 7152
22525568_length_7178_cvg_15.9_tip_1 7148 7178
22526432_length_7199_cvg_15.0_tip_1 1 21
22527670_length_7227_cvg_14.3_tip_1 1 29
22529154_length_7262_cvg_16.2_tip_1 1 29
22531868_length_7324_cvg_16.7_tip_1 1 24
22533380_length_7362_cvg_14.9_tip_1 7344 7362
22534474_length_7387_cvg_15.0_tip_1 1 21
22536668_length_7440_cvg_14.1_tip_1 7421 7440
22538970_length_7494_cvg_16.1_tip_1 1 19
22541808_length_7565_cvg_17.0_tip_1 7543 7565
22542968_length_7594_cvg_14.9_tip_1 1 22
22545122_length_7647_cvg_15.6_tip_1 1 27
22545714_length_7662_cvg_14.2_tip_1 7630 7662
22547764_length_7716_cvg_14.8_tip_1 1 29
22548728_length_7743_cvg_14.7_tip_1 1 26
22550170_length_7779_cvg_12.9_tip_1 7758 7779
22553302_length_7864_cvg_15.7_tip_1 1 22
22555276_length_7918_cvg_15.3_tip_1 7889 7918
22556874_length_7963_cvg_15.0_tip_1 1 21
22559394_length_8034_cvg_14.8_tip_1 7997 8034
22562278_length_8119_cvg_15.0_tip_0 8098 8119
22562818_length_8136_cvg_11.6_tip_1 8112 8136
22565074_length_8205_cvg_15.5_tip_1 1 25
22566728_length_8255_cvg_15.4_tip_1 8232 8255
22568744_length_8318_cvg_15.1_tip_1 8297 8318
22571388_length_8403_cvg_15.4_tip_1 1 27
22573756_length_8478_cvg_16.2_tip_1 1 23
22574564_length_8505_cvg_15.2_tip_1 8480 8505
22576360_length_8563_cvg_14.6_tip_1 8534 8563
22578696_length_8641_cvg_15.6_tip_1 1 30
22581326_length_8733_cvg_15.0_tip_1 1 30
22582120_length_8761_cvg_15.7_tip_1 8743 8761
22582524_length_8775_cvg_13.9_tip_1 8749 8775
22584574_length_8850_cvg_14.0_tip_1 1 21
22586328_length_8913_cvg_14.5_tip_0 8895 8913
22588078_length_8977_cvg_14.7_tip_1 1 30
22589296_length_9021_cvg_13.3_tip_1 1 19
22590370_length_9061_cvg_16.7_tip_1 1 30
22592588_length_9145_cvg_15.3_tip_1 9119 9145
22593660_length_9188_cvg_16.3_tip_1 1 29
22594780_length_9235_cvg_15.3_tip_1 9216 9235
22595430_length_9262_cvg_14.7_tip_1 9237 9262
22596012_length_9284_cvg_15.9_tip_1 9255 9284
22596414_length_9302_cvg_14.0_tip_1 9283 9302
22598970_length_9411_cvg_15.1_tip_1 9382 9411
22600310_length_9470_cvg_15.6_tip_0 9445 9470
22602322_length_9560_cvg_15.8_tip_1 1 37
22602914_length_9589_cvg_13.9_tip_1 9560 9589
22604706_length_9669_cvg_15.5_tip_1 9649 9669
22606874_length_9771_cvg_14.7_tip_1 1 23
22608994_length_9869_cvg_15.6_tip_1 1 25
22612330_length_10027_cvg_14.2_tip_1 10009 10027
22615482_length_10184_cvg_16.6_tip_1 1 24
22617104_length_10265_cvg_14.2_tip_1 1 25
22618106_length_10312_cvg_14.3_tip_1 1 30
22620084_length_10411_cvg_15.1_tip_1 1 27
22622400_length_10536_cvg_15.6_tip_1 10508 10536
22624658_length_10671_cvg_15.0_tip_1 10646 10671
22625754_length_10736_cvg_14.7_tip_1 10702 10736
22627142_length_10817_cvg_13.4_tip_1 10789 10817
22629422_length_10957_cvg_16.3_tip_1 10939 10957
22630512_length_11028_cvg_16.4_tip_1 1 27
22631816_length_11109_cvg_14.6_tip_1 1 28
22634342_length_11276_cvg_14.3_tip_1 11249 11276
22636430_length_11416_cvg_15.5_tip_1 1 28
22638542_length_11558_cvg_15.0_tip_1 11533 11558
22639570_length_11628_cvg_17.0_tip_1 1 23
22640166_length_11675_cvg_15.6_tip_1 1 25
22641034_length_11741_cvg_15.8_tip_1 11716 11741
22642982_length_11886_cvg_14.9_tip_1 1 20
22643884_length_11962_cvg_15.4_tip_1 11929 11962
22647134_length_12234_cvg_15.8_tip_1 1 19
22648716_length_12375_cvg_13.7_tip_1 1 24
22651276_length_12609_cvg_14.9_tip_1 1 23
22652546_length_12730_cvg_16.0_tip_1 12709 12730
22654490_length_12931_cvg_11.4_tip_1 1 27
22656396_length_13132_cvg_15.0_tip_1 13107 13132
22657384_length_13243_cvg_13.4_tip_1 13214 13243
22659258_length_13462_cvg_14.4_tip_1 1 22
22661458_length_13730_cvg_16.6_tip_1 13707 13730
22662092_length_13807_cvg_17.8_tip_1 13789 13807
22591386_length_9096_cvg_14.0_tip_1 1 28
22593196_length_9169_cvg_13.3_tip_1 9145 9169
22594178_length_9209_cvg_14.7_tip_1 9186 9209
22595360_length_9259_cvg_16.2_tip_1 1 26
22595896_length_9279_cvg_14.8_tip_1 9254 9279
22596344_length_9300_cvg_13.9_tip_1 9277 9300
22598782_length_9403_cvg_16.3_tip_1 1 28
22599982_length_9454_cvg_15.6_tip_1 1 22
22602062_length_9547_cvg_16.7_tip_1 9526 9547
22602868_length_9586_cvg_16.2_tip_1 1 24
22604408_length_9656_cvg_14.4_tip_1 9635 9656
